Epoch,Loss,Accuracy,Precision,Recall,F1-Score,ROC-AUC,True Positives,False Positives,True Negatives,False Negatives
1,72.72570788860321,0.78125,0.7758272800645682,0.9922580645161291,0.8707960593364285,0.8816649106348174,3845,1111,230,30
2,49.27728670835495,0.8949386503067485,0.8878526463044999,0.9827096774193549,0.932876041156296,0.9663908012797383,3808,481,860,67
3,39.64883276820183,0.919670245398773,0.9224938875305624,0.9736774193548388,0.9473948524795982,0.9753247215607034,3773,317,1024,102
4,34.679156601428986,0.9304064417177914,0.93812375249501,0.9703225806451613,0.9539515412913865,0.9778590844579154,3760,248,1093,115
5,30.88818534463644,0.9351993865030674,0.9415730337078652,0.9731612903225807,0.9571065989847716,0.9824327536022708,3771,234,1107,104
6,29.14291899651289,0.9380751533742331,0.9491654021244309,0.968516129032258,0.9587431344999361,0.9821639123427389,3753,201,1140,122
7,27.2519623786211,0.9432515337423313,0.9524652338811631,0.9721290322580645,0.9621966794380588,0.9841227778980539,3767,188,1153,108
8,26.24725880473852,0.9442101226993865,0.9548223350253807,0.9708387096774194,0.962763915547025,0.9847680354092996,3762,178,1163,113
9,24.435693733394146,0.9474693251533742,0.9575603557814485,0.9723870967741935,0.9649167733674776,0.9863926294772799,3768,167,1174,107
10,23.70289594307542,0.9474693251533742,0.9584924879042526,0.9713548387096774,0.9648807997949244,0.9866728248057539,3764,163,1178,111
11,23.095833122730255,0.9507285276073619,0.9610091743119266,0.9731612903225807,0.9670470573150404,0.9873284741767097,3771,153,1188,104
12,22.424761924892664,0.9526457055214724,0.9632277834525026,0.9734193548387097,0.9682967526633295,0.988048591566236,3772,144,1197,103
13,20.99580431729555,0.9536042944785276,0.9651728553137003,0.9726451612903226,0.9688946015424165,0.9896035216857906,3769,136,1205,106
14,20.787215057760477,0.9522622699386503,0.9629724208375894,0.9731612903225807,0.9680400462071621,0.9894272449544154,3771,145,1196,104
15,20.700992435216904,0.9543711656441718,0.9644955300127714,0.9744516129032258,0.9694480102695764,0.989153015323182,3776,139,1202,99
16,20.234889835119247,0.9572469325153374,0.9691675231243576,0.9734193548387097,0.9712887858890177,0.9893956844915927,3772,120,1221,103
17,19.800143111497164,0.9557131901840491,0.9671794871794872,0.9734193548387097,0.9702893890675242,0.9900930937432344,3772,128,1213,103
18,18.446232195943594,0.9591641104294478,0.9694871794871794,0.975741935483871,0.972604501607717,0.9917305814149286,3781,119,1222,94
19,19.21616157144308,0.9568634969325154,0.967948717948718,0.9741935483870968,0.9710610932475884,0.9901694931562868,3775,125,1216,100
20,18.868041966110468,0.9557131901840491,0.9671794871794872,0.9734193548387097,0.9702893890675242,0.990651944865411,3772,128,1213,103
21,17.757609840482473,0.9631901840490797,0.973271652531483,0.9772903225806452,0.9752768477980942,0.9921256645257511,3787,104,1237,88
