Epoch,Loss,Accuracy,Precision,Recall,F1,ROC-AUC,TP,FP,TN,FN,Score,Time
1,52.36161658167839,0.8678057553956835,0.9547435467650017,0.8627688579218419,0.9064290260980268,0.9479833196302302,2848,135,1012,453,0.907946101162157,41.95229983329773
2,25.23701371997595,0.9410971223021583,0.9741029641185648,0.9457740078764011,0.9597294804795573,0.984453206565763,3122,83,1064,179,0.9610313562684889,41.00888681411743
3,18.098741294816136,0.9548111510791367,0.984677923702314,0.9539533474704635,0.9690721649484536,0.9911437367926604,3149,49,1098,152,0.9707316647986056,41.10937237739563
4,15.484782811254263,0.9608812949640287,0.9887464832760238,0.9581944865192366,0.9732307692307692,0.9926911794185641,3163,36,1111,138,0.9747488426817246,41.15361571311951
5,14.17645464092493,0.9647032374100719,0.9860853432282004,0.9660708876098152,0.9759755164498852,0.9935429463529453,3189,45,1102,112,0.9772755862101835,41.10584115982056
6,13.44280796404928,0.9629046762589928,0.9866542520173806,0.9630415025749772,0.9747048903878583,0.9943852051913149,3179,43,1104,122,0.9763381052861048,41.06819725036621
7,11.839514879509807,0.9691996402877698,0.989480198019802,0.9687973341411693,0.979029542323588,0.9955956386363595,3198,34,1113,103,0.9804204706817377,41.20561480522156
8,10.53726654406637,0.96875,0.9906890130353817,0.9669797031202666,0.9786907864479534,0.9965683696811116,3192,30,1117,109,0.9803355744569426,41.11355710029602
9,9.934206379111856,0.9761690647482014,0.9916897506925207,0.9760678582247804,0.9838167938931298,0.9967252532653047,3222,27,1120,79,0.9848937441647874,41.08395290374756
10,8.73095889762044,0.9757194244604317,0.9913819636811326,0.9757649197212965,0.9835114503816794,0.9977352243527693,3221,28,1119,80,0.9848225965194619,41.10055589675903
11,8.666300185024738,0.9761690647482014,0.9922958397534669,0.9754619812178128,0.9838069049801406,0.9974380963524038,3220,25,1122,81,0.9850343774104051,41.13744282722473
12,7.820634528296068,0.9766187050359713,0.9938214396045721,0.9745531657073614,0.984092994799633,0.998081477515862,3217,20,1127,84,0.9854335565326799,41.0591082572937
13,7.351434326032177,0.9817895683453237,0.9935622317596566,0.9818236897909725,0.9876580831936614,0.9983107282752552,3241,21,1126,60,0.9886288602729738,41.13942790031433
14,7.053700698539615,0.9815647482014388,0.9944700460829493,0.9806119357770373,0.9874923733984137,0.9984147891038275,3237,18,1129,64,0.9885107785127334,41.04899287223816
15,6.4520668087061495,0.9824640287769785,0.9959987688519545,0.9803089972735535,0.9880916030534351,0.9985748420533578,3236,13,1134,65,0.9890876480018559,41.158443212509155
16,6.674306097440422,0.9826888489208633,0.9941753525444512,0.98242956679794,0.988267560566814,0.9985011543092672,3243,19,1128,58,0.9892124966278673,40.946253299713135
17,6.168009667191654,0.9838129496402878,0.9950935295921497,0.9830354438049076,0.9890277354465102,0.9987586652429173,3245,16,1131,56,0.9899456647453546,40.99240159988403
18,7.070526480441913,0.9820143884892086,0.9929599020508112,0.9827325053014239,0.9878197320341048,0.9983580046415355,3244,23,1124,57,0.9887769065034169,40.975497007369995
19,6.0390908773988485,0.9847122302158273,0.9957068383931309,0.9836413208118752,0.9896373056994818,0.9986971267326195,3247,14,1133,54,0.9904789643705868,41.00559735298157
20,6.238307059393264,0.9842625899280576,0.9941878250229428,0.9845501363223266,0.989345509893455,0.9985217551839592,3250,19,1128,51,0.9901735632701483,41.007548809051514
21,5.682767478050664,0.9856115107913669,0.9963201471941122,0.9842471978188427,0.9902468759524535,0.9988648389817146,3249,12,1135,52,0.991058114147698,41.19198536872864
22,4.864516815287061,0.9887589928057554,0.9972468644845518,0.9875795213571645,0.9923896499238964,0.999200263479905,3260,9,1138,41,0.9930350584102545,41.23800563812256
23,4.844095669104718,0.987410071942446,0.9960256802201162,0.9869736443501969,0.9914790018259282,0.999307757787593,3258,13,1134,43,0.992239231225256,41.073042154312134
24,5.157745390402852,0.9849370503597122,0.9951010410287814,0.9845501363223266,0.9897974722095325,0.9991284245322611,3250,16,1131,51,0.9907028248905227,41.02810001373291
25,5.272937141358852,0.9865107913669064,0.9963246554364472,0.985458951832778,0.9908620164483704,0.9989081536413236,3253,12,1135,48,0.9916129137451651,41.18199038505554
26,4.751475298195146,0.987410071942446,0.9963291526460691,0.9866707058467131,0.9914764079147641,0.9992723665413271,3257,12,1135,44,0.9922317409782639,41.15412640571594
27,4.576768616156187,0.9880845323741008,0.9960293219303604,0.9878824598606483,0.9919391634980989,0.999364806363663,3261,13,1134,40,0.9926600568053743,41.04320931434631
28,4.2851358141051605,0.9892086330935251,0.9975527684307127,0.9878824598606483,0.9926940639269406,0.9993748426872309,3261,8,1139,40,0.9933425535998115,41.16727924346924
29,5.121596349868923,0.9880845323741008,0.9966360856269113,0.9872765828536807,0.991934256581951,0.9989963676432098,3259,11,1136,42,0.9925855650159707,41.156653881073
30,3.7340982076711953,0.98943345323741,0.9975535168195718,0.9881853983641321,0.9928473596104094,0.9995853413683788,3262,8,1139,39,0.9935210138799804,40.972161054611206
31,3.915421129320748,0.9901079136690647,0.9972519083969466,0.9893971523780672,0.9933090024330901,0.9995716074519174,3266,9,1138,35,0.9939275168658173,40.9919228553772
32,3.52738077880349,0.9914568345323741,0.9969540054827901,0.9915177219024538,0.994228432563791,0.9996001317399525,3273,10,1137,28,0.9947514252442723,41.55602812767029
33,3.204204189067241,0.9910071942446043,0.998166819431714,0.9897000908815511,0.9939154243991482,0.9996896663107293,3267,6,1141,34,0.9944958390535493,41.244852781295776
34,3.3605069796030875,0.9914568345323741,0.9972569338616275,0.99121478339897,0.994226678821027,0.99956289169724,3272,9,1138,29,0.9947436244622476,41.17654323577881
35,3.49677925882861,0.9898830935251799,0.9960390006093846,0.9903059678885187,0.9931642108461188,0.9996312971657687,3269,13,1134,32,0.9938047140069942,41.166792154312134
36,2.8004434776376,0.9925809352517986,0.9966565349544073,0.9933353529233565,0.9949931725079654,0.9997654669650448,3279,11,1136,22,0.9954662925205146,41.19387435913086
37,3.9579859375953674,0.9880845323741008,0.9975490196078431,0.9863677673432293,0.991926884996192,0.9995296133611992,3256,8,1139,45,0.9926915635365129,41.00849008560181
38,2.2991970089788083,0.9950539568345323,0.999390801096558,0.9939412299303242,0.9966585662211421,0.9998460216673661,3281,2,1145,20,0.9969781151499845,41.199790239334106
39,3.130571311659878,0.9925809352517986,0.997867154174284,0.9921235989094214,0.9949870879538204,0.9997144930058709,3275,7,1140,26,0.9954546538590391,41.23724699020386
40,3.0556293784757145,0.9919064748201439,0.9969558599695586,0.9921235989094214,0.994533859702399,0.999701551430744,3275,10,1137,26,0.9950442689664534,41.11086297035217
41,2.5267825186019763,0.9937050359712231,0.9984770027413951,0.9930324144198728,0.9957472660996355,0.9997549024139206,3278,5,1142,23,0.9961433243292094,41.158950090408325
42,2.2409026840905426,0.9943794964028777,0.9984783931832014,0.9939412299303242,0.996204645513891,0.9998618684940525,3281,5,1142,20,0.9965731267048694,41.118600845336914
43,3.0402008634555386,0.9934802158273381,0.9975669099756691,0.9936382914268403,0.9955987251479739,0.9996870251729483,3280,8,1139,21,0.9959942335101539,41.057016372680664
44,2.8817055326799164,0.9907823741007195,0.9975579975579976,0.9900030293850348,0.9937661547818154,0.9997026078858563,3268,8,1139,33,0.9943624327422846,40.99258852005005
45,2.7883787746250164,0.9925809352517986,0.9972611077297626,0.9927294759163889,0.9949901320783361,0.9997282269223323,3277,9,1138,24,0.9954579755797239,41.16096091270447
46,3.666316250601085,0.9914568345323741,0.9969540054827901,0.9915177219024538,0.994228432563791,0.9994675466233449,3273,10,1137,28,0.9947249082209508,41.19870400428772
47,2.010110366187291,0.9950539568345323,0.9984797810884768,0.9948500454407755,0.9966616084977238,0.9999086166327764,3284,5,1142,17,0.9969908016988569,41.200886726379395
48,2.4166415077925194,0.9932553956834532,0.9984760743675709,0.9924265374129052,0.9954421148587056,0.9998130074451033,3276,5,1142,25,0.9958826259535478,41.143882513046265
49,2.004398810051498,0.9948291366906474,0.9987827145465612,0.9942441684338079,0.9965082738727797,0.9998975238540961,3282,4,1143,19,0.9968523634795785,40.987061500549316
50,1.8121484068542486,0.9961780575539568,0.9993917274939172,0.9954559224477431,0.9974199423281226,0.9999086166327764,3286,2,1145,15,0.9976708532913033,41.17365789413452
51,1.9719100193760823,0.9941546762589928,0.9981746273197445,0.9939412299303242,0.99605343047966,0.9998832617100786,3281,6,1141,20,0.9964414451397602,41.203511238098145
52,2.2630408340119175,0.9930305755395683,0.9981718464351006,0.9924265374129052,0.9952909008051041,0.9998301748406799,3276,6,1141,25,0.9957500070066716,41.22071170806885
53,1.9797649094616645,0.9950539568345323,0.9981768459434822,0.9951529839442593,0.9966626213592233,0.9998948827163151,3285,6,1141,16,0.9969882581595625,41.177536487579346
54,1.8823701746878214,0.9955035971223022,0.9987838248707814,0.9951529839442593,0.9969650986342944,0.9998951468300932,3285,4,1143,16,0.9972601302803461,41.144142389297485
55,1.851952267170418,0.9950539568345323,0.9978742787731552,0.9954559224477431,0.9966636336063087,0.9998991085367648,3286,7,1140,15,0.9969893800397008,41.13562822341919
56,2.61134556948673,0.9930305755395683,0.9978684531059683,0.9927294759163889,0.995292331055429,0.9997366785632316,3277,7,1140,24,0.9957315028361172,41.06059408187866
57,2.124407346404041,0.9943794964028777,0.997872340425532,0.9945471069372918,0.9962069488696708,0.9998660943145019,3283,7,1140,18,0.9965743973899748,41.130194902420044
58,1.8226163297222229,0.9941546762589928,0.9987816021931161,0.9933353529233565,0.9960510328068044,0.9999178606150101,3279,4,1143,22,0.9964481049594559,41.18250250816345
59,1.7834519121824997,0.9950539568345323,0.9987830848798296,0.9945471069372918,0.9966605950212507,0.9999257840283532,3283,4,1143,18,0.9969941055402515,41.14581227302551
60,2.083888293898781,0.9950539568345323,0.9981768459434822,0.9951529839442593,0.9966626213592233,0.9998494551464814,3285,6,1141,16,0.9969791726455958,41.24236559867859
61,1.7708285914413864,0.9957284172661871,0.9993913572732805,0.9948500454407755,0.9971155305905571,0.9999067678363297,3284,2,1145,17,0.9973984236814261,41.18004322052002
62,1.3957234423214686,0.9961780575539568,0.9987849331713244,0.9960617994547107,0.997421507659639,0.9999556288852788,3288,4,1143,13,0.9976803853449819,41.18238663673401
63,1.8940425187101937,0.9955035971223022,0.998177953234133,0.9957588609512269,0.9969669396420989,0.9999070319501079,3287,6,1141,14,0.9972628765799737,41.15789484977722
64,2.0341717259652796,0.9939298561151079,0.9984774665042631,0.9933353529233565,0.9958997722095672,0.9998568503322683,3279,5,1142,22,0.9962998596169126,41.289323568344116
65,1.2410145332469256,0.997751798561151,0.9993930197268589,0.9975764919721296,0.998483929654336,0.9999751733048583,3293,2,1145,8,0.9986360826438668,41.18567419052124
66,1.639685075111629,0.9964028776978417,0.9987853021560886,0.9963647379581945,0.9975735517136791,0.9999115218843356,3289,4,1143,12,0.9978075982820279,41.026063680648804
67,1.3457972000469454,0.9973021582733813,0.9990895295902883,0.9972735534686459,0.9981807155852032,0.9999455925617109,3292,3,1144,9,0.9983583098958458,41.23860263824463
